id_komentar,author_name,text_display,Sentimen
UgwOIVNcMDM8whz6QMh4AaABAg,Diana wawang,"Ya allah musnahkan lah virus corona dr muka bumi ini, supaya kami bisa menjalani hidup normal bebas virus seperti semula Amin 🙏",0.0
UgzI6tUW8YmL1BT7buh4AaABAg,Bagus Benjo,"sekarang saya malu  , kenapa dulu terlalu membanggakan beliau  ..  😭😭😭😭",-1.0
UgwZCQfxiTMEj1mbPn94AaABAg,Natural Xpose,"Peraturan anehh semua ,,, aku nyaris mati kelapan sama anak istri ku ,, jualan jadi sereeettt , ancor x lah , dikit2 di bubarin polisi , alhasil penghasilan minus berkepanjangan , dan sekarang untuk nutupin kebutuhan makan n hidup keluarga ku , aku malah jadi banyak hutang ,,, Klo terus kyk gini usaha ku bisa bangkrut ,  jadi pengangguran , n mati konyol , akibat mati kelaparan n mati kelilit utang ,,,
 Corona ohhh Corona ,, 🙊 anjenglah jadi curhat aku kan😔",-1.0
UgxjD18SyXT-_Xm9MsR4AaABAg,Kurniawan Axis,"Saya selalu nunggu new normal biar saya segera bisa melangsungkan pernikahan...  Sudah menunggu dan berdoa smogaa pandemi ini segera berakhir...  Dan hidup normal seperti biasa... 
Amiiiiiinnnnn........",1.0
Ugz5kN8dv_WLEF66hVB4AaABAg,Masni Galuh,"Semoga covid cepat berlallu..amin🤲 
Kaltim pun kembali ..seperti sedia kala 🤲ya allah🙏🙏",1.0
Ugxgkl8_QIUkw1TEWjZ4AaABAg,ahmad setiadi,"New normal biar bisa nyalahin warganya, kalau sudah ada yg positif 1 JT org....",-1.0
Ugx16qOh0JY1FrQF98h4AaABAg,Khusnul Aripin,💪💪💪indonesia pasti mampu dengan new normal biar roda kehidupan berjalan...dan meningal kan corona..semoga negeri ku maju...,1.0
UgwEJ9-34CQPPYqmCrh4AaABAg,Navi Basit,"Untung g jadi rakyat korut, bangkang pemerintahan udah lenyap dari dunia, semangat pak de jokowi, dan TNI POLRI💪",1.0
Ugxa3MbzgOWd5gNzO6Z4AaABAg,Novieta Sari,New normal  itu apa bang.. Sya kurang paham,0.0
UgxuONm7RuWYvV21ARd4AaABAg,Bebe Ndeso,"Terlalu banyak istilah...padahal sebetulnya gak jauh beda implementasinya.pusing mikirin istilah²..
Terserah dehhh.
Kami hanya bisa berdoa",-1.0
Ugy3YIZDkY4CzmsxEGJ4AaABAg,Sarjana Ngurek Channel Reborn,Tatanan baru itu apa udah d setting apa emang berjalan sebagai efek dari pandemi ya? Maaf pemula.. hanya ingin tau aja,0.0
