ja, aja
jgn, jangan
sdh, sudah
udah, sudah
sdah, sudah
bgt, banget
gmn, gimana
bs, bisa
smoga, semoga
smg, semoga
hadeuh, haduh
hadeh, haduh
silahkan, silakan
tidk, tidak
tdak, tidak
tdk, tidak
enggak, tidak
engga, tidak
nggak, tidak
ngga, tidak
ngak, tidak
gak, tidak
gk, tidak
ga, tidak
g, tidak
kagak, tidak
kaga, tidak
ndak, tidak
enk, enak
rmh, rumah
inget, ingat
dr, dari
kalo, kalau
klo, kalau
kl, kalau
org, orang
thn, tahun
thun, tahun
prlu, perlu
muter, putar
pd, pada
di siplin, disiplin
mkn, makan
utk, untuk
tuk, untuk
ap, apa
liat, lihat
hnya, hanya
smua, semua
ko, kok
hrus, harus
hrs, harus
cth, contoh
dgn, dengan
puny, punya
aku, saya
gw, saya
gua, saya
gue, saya
w, saya
sy, saya
krn, karena
kumaha, gimana
lbh, lebih
kmbali, kembali
waw, wow
nyesel, nyesal
bnr, benar
bener, benar
skrg, sekarang
sekrg, sekarang
skarang, sekarang
skrng, sekarang
pengen, ingin
pingin, ingin
inget, ingat
seneng, senang
aja, saja
sja, saja
aj, saja
sj, saja
lu, kamu
kau, kamu
mimpin, memimpin
k, ke
stiap, setiap
bln, bulan
denger, dengar
males, malas
serah, terserah
koq, kok
tp, tapi
jgn, jangan
ttp, tetap
tetep, tetap
yg, yang
jdi, jadi
mantul, mantap
btul, betul
santuy, santai
rejeki, rezeki
itung, hitung
lg, lagi
